Employee ID,Department,Job Role,Gender,Age,Education,Hiring Date,Salary,Performance Rating,Satisfaction Score,Attrition,Recruitment Source,Training Hours,Years at Company
EMP-00086,Marketing,Marketing Analyst,Non-Binary,35,Associate Degree,2017-12-01,69060,2,1,No,Indeed,47,6
EMP-00087,Sales,Sales Executive,Non-Binary,23,Master's,2020-12-30,82438,1,1,Yes,Recruiter,60,3
EMP-00088,HR,Recruiter,Non-Binary,50,Bachelor's,2021-09-04,77202,2,3,No,Company Website,36,2
EMP-00089,Marketing,Marketing Analyst,Male,25,Master's,2018-01-25,65789,5,5,No,Referral,19,5
EMP-00090,Finance,Financial Analyst,Non-Binary,50,Associate Degree,2018-02-15,108872,4,5,No,Recruiter,38,5
EMP-00091,Marketing,SEO Specialist,Female,48,Bachelor's,2015-05-10,58756,3,3,No,Company Website,20,8
EMP-00092,Operations,Operations Coordinator,Male,39,Bachelor's,2022-02-10,103879,3,2,Yes,LinkedIn,69,1
EMP-00093,HR,Recruiter,Non-Binary,49,PhD,2015-12-22,89915,5,4,No,Referral,18,8
EMP-00094,Operations,Project Manager,Female,57,Master's,2022-09-27,99964,5,1,No,LinkedIn,10,1
EMP-00095,Operations,Project Manager,Female,47,Bachelor's,2017-07-24,99282,1,5,No,Indeed,72,6
EMP-00096,Marketing,Marketing Analyst,Non-Binary,38,Associate Degree,2020-10-23,89393,2,2,No,Indeed,68,3
EMP-00097,Marketing,Marketing Analyst,Male,50,PhD,2018-04-20,68490,4,1,No,Indeed,31,5
EMP-00098,Engineering,QA Engineer,Female,43,Associate Degree,2017-08-24,113356,4,1,No,Recruiter,58,6
EMP-00099,Sales,Account Manager,Female,53,Master's,2021-03-12,86949,3,3,No,Recruiter,58,2
EMP-00100,Finance,Financial Analyst,Female,49,Bachelor's,2020-08-27,89861,3,1,No,Referral,47,3
EMP-00101,HR,HR Specialist,Female,54,PhD,2017-03-10,62342,2,2,No,Company Website,41,6
EMP-00102,Engineering,DevOps,Non-Binary,29,Master's,2017-04-12,90708,3,1,Yes,LinkedIn,76,6
EMP-00103,HR,HR Specialist,Female,53,Associate Degree,2018-07-11,70059,3,2,Yes,Indeed,25,5
EMP-00104,Marketing,SEO Specialist,Non-Binary,54,PhD,2015-07-01,96124,2,5,Yes,Recruiter,28,8
EMP-00105,Finance,Financial Analyst,Non-Binary,26,Associate Degree,2018-08-01,78859,2,4,No,Indeed,11,5
EMP-00106,HR,HR Specialist,Female,30,Master's,2016-01-31,61382,5,4,No,Recruiter,53,7
EMP-00107,HR,Recruiter,Non-Binary,44,Associate Degree,2018-10-19,93861,2,1,No,LinkedIn,90,5
EMP-00108,Operations,Project Manager,Non-Binary,25,Master's,2015-08-25,95367,1,1,Yes,Referral,38,8
EMP-00109,Finance,Accountant,Male,59,Master's,2015-03-16,73996,5,2,No,LinkedIn,46,8
EMP-00110,Sales,Account Manager,Non-Binary,52,Master's,2019-06-11,57875,2,5,No,Indeed,49,4
EMP-00111,Engineering,Software Engineer,Female,23,Associate Degree,2023-02-01,83646,1,5,No,Indeed,74,0
EMP-00112,HR,HR Specialist,Non-Binary,57,Bachelor's,2018-10-26,61555,5,2,Yes,Indeed,48,5
EMP-00113,HR,Recruiter,Non-Binary,41,PhD,2015-02-24,78769,1,5,No,Indeed,90,8
EMP-00114,Operations,Project Manager,Male,30,Associate Degree,2016-04-26,98890,2,1,No,LinkedIn,10,7
EMP-00115,Sales,Sales Executive,Non-Binary,58,Associate Degree,2019-06-28,54130,1,2,Yes,Company Website,60,4
EMP-00116,Operations,Operations Coordinator,Non-Binary,38,Master's,2022-01-15,83393,5,3,Yes,LinkedIn,64,1
EMP-00117,Sales,Sales Executive,Male,37,Master's,2018-09-03,65491,5,3,No,LinkedIn,91,5
EMP-00118,Sales,Account Manager,Female,37,PhD,2016-05-03,56918,2,5,Yes,LinkedIn,32,7
EMP-00119,Engineering,Software Engineer,Female,44,Bachelor's,2015-09-07,94541,1,5,No,Referral,48,8
EMP-00120,HR,Recruiter,Male,55,PhD,2016-09-06,67850,3,1,No,Recruiter,52,7
EMP-00121,Engineering,DevOps,Male,34,Master's,2015-12-30,98510,4,1,No,LinkedIn,25,8
EMP-00122,Finance,Accountant,Female,34,Bachelor's,2023-01-20,74323,3,2,No,Referral,41,0
EMP-00123,HR,HR Specialist,Male,37,Associate Degree,2017-03-24,89974,5,4,No,Company Website,19,6
EMP-00124,Operations,Project Manager,Non-Binary,35,Associate Degree,2015-12-06,84574,1,5,No,Referral,77,8
EMP-00125,Engineering,QA Engineer,Male,36,Bachelor's,2016-03-07,115600,5,1,No,LinkedIn,97,7
EMP-00126,Marketing,SEO Specialist,Female,45,PhD,2020-08-03,98194,5,5,No,Recruiter,34,3
EMP-00127,Marketing,SEO Specialist,Female,55,Bachelor's,2018-08-26,70934,3,5,No,Referral,50,5
EMP-00128,Sales,Account Manager,Female,56,Master's,2019-12-02,59199,1,1,No,Referral,71,4
EMP-00129,Sales,Account Manager,Non-Binary,46,Bachelor's,2015-06-09,69578,5,3,No,Company Website,23,8
EMP-00130,Finance,Accountant,Male,24,Bachelor's,2019-06-29,82674,3,3,No,Referral,85,4
EMP-00131,Engineering,Software Engineer,Non-Binary,59,Associate Degree,2018-11-19,117520,2,3,No,Indeed,14,5
EMP-00132,Engineering,QA Engineer,Male,38,Master's,2015-02-06,104125,5,4,No,Recruiter,71,8
EMP-00133,Finance,Financial Analyst,Male,27,Associate Degree,2018-09-08,84129,3,2,No,Indeed,89,5
EMP-00134,Marketing,Marketing Analyst,Male,57,PhD,2022-11-03,86290,5,1,No,Indeed,47,1
EMP-00135,Marketing,Marketing Analyst,Non-Binary,51,PhD,2022-09-09,64017,2,3,No,Referral,11,1
EMP-00136,Operations,Project Manager,Male,38,Associate Degree,2019-03-28,86588,5,2,No,Referral,69,4
EMP-00137,Finance,Financial Analyst,Female,49,Associate Degree,2018-09-11,66007,2,3,No,Recruiter,31,5
EMP-00138,Marketing,SEO Specialist,Male,33,Master's,2016-04-28,73271,4,2,Yes,LinkedIn,19,7
EMP-00139,Operations,Project Manager,Non-Binary,56,Associate Degree,2021-03-07,80953,5,2,No,Recruiter,85,2
EMP-00140,Finance,Financial Analyst,Female,55,Master's,2023-01-05,109064,3,3,No,Referral,38,0
EMP-00141,Marketing,Marketing Analyst,Female,35,Associate Degree,2021-09-10,78650,5,1,No,Indeed,36,2
EMP-00142,HR,HR Specialist,Male,41,Master's,2022-08-27,94413,5,4,No,Indeed,66,1
EMP-00143,Finance,Financial Analyst,Male,46,Associate Degree,2016-07-23,70626,2,4,No,Company Website,27,7
EMP-00144,Marketing,SEO Specialist,Male,29,PhD,2019-05-27,74994,1,4,No,Indeed,55,4
EMP-00145,Engineering,DevOps,Female,36,Bachelor's,2020-05-17,92343,4,5,No,LinkedIn,93,3
EMP-00146,Marketing,Marketing Analyst,Non-Binary,34,Bachelor's,2017-10-13,93565,5,4,No,Recruiter,27,6
EMP-00147,Operations,Operations Coordinator,Female,29,PhD,2018-10-21,89009,5,3,No,Indeed,97,5
EMP-00148,Sales,Sales Executive,Female,54,Master's,2023-01-15,84499,4,4,No,LinkedIn,42,0
EMP-00149,Sales,Sales Executive,Female,59,PhD,2022-03-21,63333,2,4,No,Referral,55,1
EMP-00150,Engineering,QA Engineer,Male,24,PhD,2015-04-16,78041,1,4,No,LinkedIn,15,8
EMP-00151,Sales,Sales Executive,Female,49,Master's,2016-07-06,71015,4,2,No,Company Website,71,7
EMP-00152,HR,HR Specialist,Female,47,PhD,2016-04-03,76630,4,4,No,Indeed,50,7
EMP-00153,Marketing,SEO Specialist,Male,46,Bachelor's,2017-08-28,91877,4,2,Yes,Indeed,28,6
EMP-00154,Operations,Operations Coordinator,Non-Binary,39,Master's,2020-04-11,64780,5,5,No,Referral,92,3
EMP-00155,Operations,Project Manager,Non-Binary,50,Master's,2017-12-18,62920,4,3,No,LinkedIn,16,6
EMP-00156,Marketing,Marketing Analyst,Male,25,Associate Degree,2019-10-15,62005,5,2,No,Company Website,29,4
EMP-00157,Marketing,SEO Specialist,Female,57,Master's,2016-08-30,70282,4,1,Yes,Referral,45,7
EMP-00158,Operations,Project Manager,Non-Binary,39,Associate Degree,2017-01-24,72201,2,3,No,Recruiter,24,6
EMP-00159,Sales,Sales Executive,Female,58,Bachelor's,2020-11-17,64975,4,2,Yes,Recruiter,50,3
EMP-00160,Operations,Operations Coordinator,Female,38,PhD,2016-01-16,90523,4,1,No,LinkedIn,37,7
EMP-00161,Engineering,DevOps,Non-Binary,52,PhD,2019-01-12,118006,4,4,No,Referral,76,4
EMP-00162,Operations,Operations Coordinator,Male,22,Bachelor's,2020-06-16,70831,2,5,No,Company Website,17,3
EMP-00163,HR,Recruiter,Male,58,Associate Degree,2021-06-18,73040,4,4,Yes,Recruiter,58,2
EMP-00164,Sales,Account Manager,Female,35,Master's,2020-01-22,71155,4,4,No,LinkedIn,46,3
EMP-00165,Marketing,SEO Specialist,Male,54,Bachelor's,2020-12-06,82420,5,3,No,Indeed,87,3
EMP-00166,Marketing,SEO Specialist,Female,46,Master's,2022-07-03,96235,3,2,Yes,Recruiter,66,1
EMP-00167,HR,Recruiter,Female,29,Master's,2018-08-10,59110,5,4,No,Recruiter,10,5
EMP-00168,Finance,Accountant,Female,31,Master's,2016-05-31,78669,1,2,No,Referral,91,7
EMP-00169,Sales,Account Manager,Male,25,Bachelor's,2015-10-30,81487,4,1,Yes,LinkedIn,28,8
EMP-00170,Operations,Project Manager,Female,27,PhD,2017-12-28,102287,2,1,Yes,LinkedIn,42,6
EMP-00171,Sales,Sales Executive,Non-Binary,25,Master's,2022-03-17,51924,5,5,No,Recruiter,13,1
EMP-00172,Operations,Project Manager,Male,45,Master's,2021-09-10,96321,3,1,No,LinkedIn,94,2
EMP-00173,Sales,Account Manager,Male,54,Bachelor's,2020-12-30,82574,3,5,No,LinkedIn,44,3
EMP-00174,Marketing,SEO Specialist,Non-Binary,42,Master's,2022-12-24,99298,2,2,No,Referral,79,1
EMP-00175,Marketing,Marketing Analyst,Male,36,Associate Degree,2016-10-26,56177,5,4,No,Company Website,24,7
EMP-00176,HR,Recruiter,Male,42,PhD,2018-09-11,76966,4,2,No,Indeed,89,5
EMP-00177,Finance,Accountant,Male,34,Master's,2022-10-11,104310,3,4,No,Indeed,43,1
EMP-00178,Operations,Project Manager,Non-Binary,29,Associate Degree,2016-01-08,67151,3,4,No,Referral,45,7
EMP-00179,Operations,Operations Coordinator,Non-Binary,28,PhD,2022-03-21,72289,2,4,No,Company Website,83,1
EMP-00180,Finance,Financial Analyst,Female,28,Master's,2021-06-17,68654,2,1,Yes,LinkedIn,53,2
EMP-00181,Finance,Accountant,Male,36,Master's,2020-12-28,76130,4,5,No,Referral,51,3
EMP-00182,Sales,Account Manager,Non-Binary,31,Bachelor's,2019-05-23,79084,3,2,No,Referral,28,4
EMP-00183,Marketing,SEO Specialist,Non-Binary,55,Bachelor's,2019-01-02,58040,5,2,Yes,Recruiter,90,5
EMP-00184,Operations,Operations Coordinator,Female,34,Bachelor's,2021-10-02,62852,3,4,No,LinkedIn,34,2
EMP-00185,Engineering,DevOps,Non-Binary,45,Associate Degree,2019-04-27,79358,1,5,No,Indeed,77,4
EMP-00186,Engineering,QA Engineer,Male,57,PhD,2021-05-24,85793,4,5,Yes,LinkedIn,17,2
EMP-00187,Sales,Sales Executive,Female,26,Associate Degree,2021-10-08,82957,5,4,No,Indeed,41,2
EMP-00188,Finance,Accountant,Non-Binary,43,Master's,2019-05-05,99503,4,3,No,Referral,96,4
EMP-00189,Marketing,SEO Specialist,Male,34,Bachelor's,2019-12-27,64686,4,4,Yes,LinkedIn,64,4
EMP-00190,Engineering,QA Engineer,Non-Binary,37,Master's,2016-09-24,98197,1,4,No,Recruiter,32,7
EMP-00191,Marketing,Marketing Analyst,Female,42,Associate Degree,2019-03-21,84301,4,4,No,Referral,81,4
EMP-00192,Sales,Sales Executive,Male,44,Master's,2021-11-12,56023,2,4,Yes,Recruiter,75,2
EMP-00193,Sales,Sales Executive,Non-Binary,44,Master's,2020-07-03,80585,1,1,No,Company Website,91,3
EMP-00194,Operations,Project Manager,Non-Binary,59,Master's,2020-12-30,84981,5,4,No,Recruiter,44,3
EMP-00195,Operations,Operations Coordinator,Non-Binary,42,PhD,2015-05-14,67629,4,3,No,Referral,11,8
EMP-00196,HR,Recruiter,Male,54,Associate Degree,2019-12-17,57373,2,2,No,LinkedIn,89,4
EMP-00197,Operations,Operations Coordinator,Male,55,Associate Degree,2023-01-25,74716,1,3,No,Recruiter,77,0
EMP-00198,Sales,Sales Executive,Female,41,Master's,2020-06-02,85108,4,4,No,Recruiter,69,3
EMP-00199,Operations,Operations Coordinator,Non-Binary,26,PhD,2015-02-12,78268,4,2,Yes,Referral,19,8
EMP-00200,Sales,Account Manager,Male,56,Bachelor's,2016-11-20,81618,1,5,No,LinkedIn,37,7
EMP-00201,Operations,Operations Coordinator,Non-Binary,38,Bachelor's,2021-04-29,69074,1,4,No,Company Website,61,2
EMP-00202,Finance,Accountant,Female,56,PhD,2015-05-04,98187,5,2,No,Indeed,95,8
EMP-00203,Operations,Project Manager,Male,59,PhD,2020-08-06,69956,2,5,No,Recruiter,19,3
EMP-00204,Engineering,DevOps,Male,42,Bachelor's,2020-10-13,100476,5,5,No,Referral,54,3
EMP-00205,Marketing,Marketing Analyst,Non-Binary,47,Master's,2016-05-11,99002,3,4,No,Company Website,43,7
EMP-00206,Marketing,SEO Specialist,Male,59,Master's,2016-08-16,83411,1,3,No,Recruiter,51,7
EMP-00207,Finance,Financial Analyst,Male,54,Master's,2015-01-17,95911,1,1,No,Referral,67,8
EMP-00208,Marketing,SEO Specialist,Male,36,Bachelor's,2016-12-15,80364,3,2,No,Company Website,96,7
EMP-00209,Finance,Financial Analyst,Male,44,PhD,2023-03-07,95111,5,1,Yes,LinkedIn,60,0
EMP-00210,HR,Recruiter,Non-Binary,57,PhD,2019-07-27,61280,5,4,No,Company Website,24,4
EMP-00211,HR,HR Specialist,Female,59,PhD,2021-10-25,78138,5,5,No,Company Website,90,2
EMP-00212,Sales,Sales Executive,Female,46,Master's,2023-03-13,76182,1,3,No,Referral,19,0
EMP-00213,Finance,Accountant,Non-Binary,37,Associate Degree,2020-02-26,90227,5,2,No,Company Website,20,3
EMP-00214,Engineering,DevOps,Female,46,Master's,2021-02-08,98953,1,1,Yes,Company Website,39,2
EMP-00215,Marketing,Marketing Analyst,Female,33,Bachelor's,2016-11-16,66435,5,1,Yes,Referral,30,7
EMP-00216,Finance,Accountant,Female,46,Master's,2020-04-11,80997,3,4,No,Company Website,38,3
EMP-00217,Finance,Accountant,Non-Binary,36,PhD,2022-02-01,78057,4,5,No,Company Website,86,1
EMP-00218,Operations,Project Manager,Non-Binary,44,Bachelor's,2019-09-21,87044,3,1,Yes,Company Website,34,4
EMP-00219,Finance,Financial Analyst,Non-Binary,22,Associate Degree,2015-12-28,87663,1,2,No,Indeed,73,8
EMP-00220,Engineering,QA Engineer,Non-Binary,48,PhD,2021-11-25,119522,5,2,No,Referral,50,2
EMP-00221,Finance,Financial Analyst,Male,35,Master's,2022-03-30,84363,2,2,No,LinkedIn,43,1
EMP-00222,Finance,Financial Analyst,Non-Binary,25,Associate Degree,2022-03-19,80379,3,3,No,Referral,33,1
EMP-00223,Operations,Project Manager,Female,25,Associate Degree,2020-01-03,83705,5,5,Yes,LinkedIn,54,3
EMP-00224,Marketing,Marketing Analyst,Male,37,Master's,2022-03-15,82766,5,4,No,Company Website,13,1
EMP-00225,Operations,Operations Coordinator,Male,40,Master's,2016-08-16,60161,4,3,No,Recruiter,85,7
EMP-00226,Operations,Operations Coordinator,Female,54,Master's,2018-02-14,97861,3,4,No,Company Website,56,5
EMP-00227,HR,HR Specialist,Non-Binary,48,PhD,2018-02-15,83787,1,5,No,Company Website,84,5
EMP-00228,Sales,Account Manager,Female,24,Bachelor's,2017-04-16,48471,4,1,Yes,Indeed,79,6
EMP-00229,Sales,Sales Executive,Female,47,PhD,2022-02-23,63284,3,5,No,Recruiter,73,1
EMP-00230,Finance,Accountant,Female,25,Master's,2023-02-12,67096,5,2,No,Referral,44,0
EMP-00231,Sales,Account Manager,Male,52,Associate Degree,2022-04-13,48384,4,1,Yes,LinkedIn,45,1
EMP-00232,Finance,Accountant,Non-Binary,49,Master's,2017-05-25,66431,4,2,Yes,Referral,89,6
EMP-00233,Operations,Project Manager,Non-Binary,41,Master's,2015-07-24,69833,1,4,No,Referral,66,8
EMP-00234,Finance,Accountant,Non-Binary,28,Bachelor's,2020-07-03,82073,3,2,No,Referral,35,3
EMP-00235,Marketing,SEO Specialist,Male,24,PhD,2018-08-29,77669,2,5,No,Referral,46,5
EMP-00236,Sales,Sales Executive,Male,25,PhD,2017-05-02,67360,1,4,No,Referral,80,6
EMP-00237,Operations,Project Manager,Female,43,Bachelor's,2016-08-15,62336,5,5,No,LinkedIn,79,7
EMP-00238,Operations,Operations Coordinator,Male,23,Master's,2022-11-29,103617,5,5,No,Referral,25,1
EMP-00239,HR,HR Specialist,Non-Binary,53,PhD,2016-08-10,53750,3,4,No,Recruiter,29,7
EMP-00240,Engineering,DevOps,Female,48,Bachelor's,2020-03-16,84283,5,4,No,LinkedIn,49,3
EMP-00241,Engineering,QA Engineer,Male,56,Master's,2020-10-14,104118,3,1,No,Company Website,32,3
EMP-00242,Sales,Sales Executive,Female,29,Associate Degree,2018-12-21,58489,5,3,No,Company Website,50,5
EMP-00243,Marketing,Marketing Analyst,Female,33,Master's,2022-02-27,62239,2,1,Yes,Indeed,12,1
EMP-00244,HR,Recruiter,Male,53,Associate Degree,2015-02-09,51898,4,1,Yes,Indeed,13,8
EMP-00245,Operations,Operations Coordinator,Non-Binary,37,Bachelor's,2022-02-04,65906,4,1,No,Recruiter,30,1
EMP-00246,Operations,Project Manager,Non-Binary,26,Bachelor's,2017-07-12,61283,3,2,Yes,Indeed,77,6
EMP-00247,Sales,Account Manager,Male,59,Master's,2022-05-16,69217,5,3,No,Indeed,69,1
EMP-00248,Marketing,Marketing Analyst,Female,43,PhD,2019-01-13,85090,4,4,No,Company Website,39,4
